OBJECTID,CODE,STATUSLEGGERWATERVEILIGHEID,INDICATOR,GEOMETRY,datakey,metadatakey
1,102GEW,Vastgesteld,KL,POINT (152063.092 417523.710000001),102GEW,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
2,AKW895,Vastgesteld,KL,POINT (142400.927999999 416569.357000001),AKW895,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
3,AKW1003,Vastgesteld,KL,POINT (133362.473000001 413955.322999999),AKW1003,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
4,202DBR,Vastgesteld,KL,POINT (153036.401000001 411373.408700001),202DBR,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
5,120AAD,Vastgesteld,KL,POINT (151583.861200001 411660.527199999),120AAD,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
6,117ENG,Vastgesteld,KL,POINT (147277.639800001 414032.616),117ENG,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
7,AKW919,Vastgesteld,KL,POINT (140074.129999999 417022.307),AKW919,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
8,AKW15,Vastgesteld,KL,POINT (194348.033 407436.640000001),AKW15,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
9,DKW30,Vastgesteld,KL,POINT (176415.958000001 420927.177999999),DKW30,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
11,AKW762,Vastgesteld,KL,POINT (152812.675000001 418363.594000001),AKW762,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
12,AKW286,Vastgesteld,KL,POINT (178696.8268 420048.255399998),AKW286,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
13,AKW787,Vastgesteld,KL,POINT (151229.964000002 416802.688000001),AKW787,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
14,118LOV,Vastgesteld,KL,POINT (137777.8649 408961.9452),118LOV,E0E430E7-A3FF-4709-9EFA-0139F248BE0D
